i,alpha,lam,gamma,tau,k,noise,alpha_hat,lam_hat,gamma_hat,gconf,lconf
29,0.8574865048347184,2.746893440767596,0.6773204656856646,0.8986066860092621,0.8599031223122451,0.11020631003144832,0.6907909413929358,2.5263679842728255,0.7736974219834443,ok,ok
30,0.7425143795094824,1.5086360754404688,2.4671207088811316,0.4465889066413173,0.730010320218599,0.14288319736010135,0.5729604304741623,1.879865042837089,2.987752587934887,ok,ok
31,0.8238068164376906,2.1402497370706888,3.474678328198434,0.5893552811345937,0.8402781927339393,0.17374807811847937,0.6501034869525942,2.482589768889951,3.4538604189082887,ok,ok
32,0.9137049797636073,3.4418642590524007,0.530267148630322,0.7055124242826865,0.8376161142171765,0.19628008245576115,0.6834075737320485,2.884767041372978,0.4339567736887487,ok,ok
33,0.808167221976111,1.334714798537332,2.6174743568041188,0.7822765051748548,0.6970924519565318,0.17088126841257162,0.5918499400361156,1.1883398503548468,2.987752587934887,ok,ok
34,0.8483030825857717,2.1050371787851123,2.2549678626402443,0.9744236192088072,0.8642008155238439,0.16141669366323774,0.6206514049248387,2.223326921766974,3.320952190575095,ok,ok
35,0.7879355537068105,2.952382659904357,2.462709728683697,0.9515432315643246,0.7460070527409821,0.14548519269058457,0.5846783459445065,2.0936028250122343,2.8771158766389466,ok,ok
36,0.7275749425293011,2.454184634732554,1.435774745198274,0.7679921714818997,0.7363837304136698,0.1440650479199234,0.6428770466638157,2.7635958972541905,2.68902159841908,ok,ok
37,0.9603014317760021,2.1305928292937555,1.6438126745355732,0.41657595771395595,0.6604411356929175,0.13872693276509052,0.6093168891811217,1.984267571542174,2.0348097580336164,ok,ok
38,0.7697976378546383,1.3890762433378154,2.3575279411459396,0.8250013967297514,0.6929094502233304,0.1543332562900862,0.6146555805008982,1.4486002472761363,2.8152644624457763,ok,ok
39,0.8506517035305996,1.5981124557910358,0.48817763989028135,0.6777395149146984,0.6222187307406438,0.10654692802138747,0.6235191869284191,1.3568655111438213,0.5182486362622868,ok,ok
40,0.9332740872536032,3.7211936354284756,2.956460481965905,0.7755685219108747,0.9467181888466752,0.1909549483795192,0.6590533641981503,4.324867098219192,3.437009465787808,ok,weak
