ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
0.9173,4.3332,1.971,0.41185,0.75558,0.24641,0.58043,1.06575,0.50385,0.29245,9.75047,10.53534
0.7849,4.2298,2.0549,0.42274,0.82373,0.37546,0.64761,1.25081,0.46127,0.29873,9.24485,9.64745
0.8143,4.1356,3.273,0.46503,0.81494,0.50314,0.73126,1.77233,0.41256,0.30169,9.51174,11.09168
0.6016,3.1314,3.1481,0.5714,2.06428,0.78627,8.0,2.19234,0.06754,0.60704,8.91089,10.58365
0.6627,1.6551,2.0876,0.60199,1.01861,1.05357,1.23297,1.79773,0.29349,0.36187,7.10857,8.80708
0.9785,1.5607,0.723,0.48266,1.01309,0.34867,0.73227,0.81384,0.44677,0.32715,6.64937,6.72626
0.9354,3.4225,0.9724,0.41794,1.10908,0.30847,0.70039,0.85543,0.4578,0.32063,7.26767,7.06731
0.741,2.1139,3.9464,0.71878,1.41379,1.23409,4.24934,2.32962,0.11754,0.49945,8.06338,10.01869
0.7731,4.1632,4.1994,0.59744,1.43409,0.7097,3.53671,1.97526,0.13875,0.49072,9.42521,11.12923
0.6082,1.6349,1.7404,0.52764,1.00649,0.78308,1.10897,1.72277,0.32055,0.35548,7.93245,9.49912
0.8474,1.6798,3.9409,0.73972,0.84501,1.32552,1.35706,2.18121,0.25804,0.35017,7.56972,9.75669
0.6361,2.4235,3.7873,0.67837,1.9814,1.63775,8.0,2.69408,0.04811,0.59087,7.68908,9.54505
0.7092,2.3655,3.3955,0.68854,1.53175,1.3889,3.25613,2.37803,0.16583,0.53995,7.27867,9.38433
0.6044,1.5591,2.1205,0.69449,1.41685,1.25036,2.52403,2.17264,0.19408,0.48987,6.7701,8.49074
0.8247,2.2552,1.8244,0.45,0.82302,0.45575,0.71693,1.22944,0.45312,0.32485,9.5792,9.76855
0.6901,3.1997,3.0372,0.53987,1.31501,0.71584,1.88185,1.96153,0.23816,0.44819,8.36501,10.43188
0.6208,2.0661,3.9662,0.72645,1.87391,1.53892,1.87391,2.6876,-0.00696,0.56935,8.36056,9.92588
0.9641,2.8516,0.2964,0.43739,0.95778,0.111,0.64713,0.31009,0.48936,0.31668,6.95678,6.1739
0.9534,1.2499,3.2045,0.68389,0.71736,1.03308,0.8505,1.63834,0.37296,0.3172,7.6609,9.30994
0.6892,3.0407,3.8554,0.62843,1.8998,0.79999,8.0,2.02171,0.05403,0.56258,9.9211,11.3368
0.8555,1.2511,2.9118,0.67435,0.74146,1.10367,0.92165,1.76204,0.34738,0.32016,7.84887,9.41271
0.9313,4.484,3.2056,0.44949,0.74734,0.42819,0.62699,1.33371,0.47709,0.29913,9.77692,10.7282
0.6935,1.0788,1.3929,0.57622,0.80591,0.73342,0.85601,1.41125,0.3858,0.33025,7.684,8.5007
0.9447,3.9911,0.9458,0.3546,0.97886,0.21146,0.61365,0.78973,0.49881,0.3061,8.4939,8.40532
0.6583,3.1063,4.0883,0.65839,2.14921,1.55805,8.0,2.5428,0.04201,0.64613,7.74846,9.48707
0.9903,3.7015,4.4144,0.53964,0.72444,0.59022,0.72525,1.52254,0.42793,0.31035,10.20787,11.19254
0.6281,3.0856,3.1878,0.65794,1.8346,1.52165,4.46533,2.42159,0.13669,0.61038,7.186,9.07669
0.9758,2.0764,2.144,0.4612,0.76075,0.40458,0.69542,1.18813,0.46702,0.32478,10.22725,11.35411
0.8991,4.2961,2.4548,0.43215,0.76492,0.36932,0.61568,1.26539,0.49052,0.302,9.64565,10.16847
0.8213,1.8139,3.1101,0.63396,0.78446,0.8386,0.99022,1.82185,0.32804,0.32484,8.10498,10.09799
